id,species,class,weapon,draw_type,season_dates,unit_group,hunter_choice_number_ke,quota,season_start_date,season_end_date
257,Mule Deer,Antlered,Muzzleloader,Resident,"Sep 10, 2021 - Oct 04, 2021",14,Hunter Choice Number 427,5,2021-09-10,2021-10-04
259,Mule Deer,Antlered,Muzzleloader,Resident,"Sep 10, 2021 - Oct 04, 2021",15,Hunter Choice Number 428,5,2021-09-10,2021-10-04
261,Mule Deer,Antlered,Muzzleloader,Resident,"Dec 11, 2021 - Dec 20, 2021",21,Hunter Choice Number 429,5,2021-12-11,2021-12-20
263,Mule Deer,Antlered,Muzzleloader,Resident,"Sep 10, 2021 - Oct 04, 2021",22,Hunter Choice Number 430,5,2021-09-10,2021-10-04
264,Mule Deer,Antlered,Muzzleloader,Resident,"Sep 10, 2021 - Oct 04, 2021",31,Hunter Choice Number 431,5,2021-09-10,2021-10-04
266,Mule Deer,Antlered,Muzzleloader,Resident,"Sep 10, 2021 - Oct 04, 2021",32,Hunter Choice Number 432,5,2021-09-10,2021-10-04
269,Mule Deer,Antlered,Muzzleloader,Resident,"Sep 10, 2021 - Oct 04, 2021",33,Hunter Choice Number 433,5,2021-09-10,2021-10-04
271,Mule Deer,Antlered,Muzzleloader,Resident,"Sep 10, 2021 - Oct 04, 2021",34,Hunter Choice Number 434,5,2021-09-10,2021-10-04
272,Mule Deer,Antlered,Muzzleloader,Resident,"Sep 10, 2021 - Oct 04, 2021",35,Hunter Choice Number 435,7,2021-09-10,2021-10-04
273,Mule Deer,Antlered,Muzzleloader,Resident,"Sep 10, 2021 - Oct 04, 2021",51,Hunter Choice Number 436,15,2021-09-10,2021-10-04
275,Mule Deer,Antlered,Muzzleloader,Resident,"Sep 10, 2021 - Oct 04, 2021",65,Hunter Choice Number 437,5,2021-09-10,2021-10-04
